SL.NO,DESCRIPTION,RESPONSIBLE_AGENCY,QTY,DURATION,WEIGHT_KG,TOTAL_WEIGHT_KG,UNIT_RATE_INR,TOTAL_BUDGET,DATE,PROJECT_NAME,APPROVED_BY,CURRENCY
1412,Complete manufacturing of Pin Wheel 1 for ESP,Tetakisu,17416,One time,14.27,248526.32,1936.19,33720685.04,2024-03-10,BHEL Ranipet L1,Magesh,INR
1413,Complete manufacturing of Shaft I for ESP,Cando Engineering,24064,One time,20.24,487055.36,1266.14,30468392.96,2024-04-12,BHEL Ranipet L1,Mani,INR
1414,Complete manufacturing of Grip Coupling for ESP,Tetakisu,20285,One time,13.24,268573.4,532.05,10792634.25,2024-02-23,BHEL Trichy T2,Mani,INR
1415,Complete manufacturing of Foundation Bolt for ESP,SriVidhya Fabricators,13302,One time,23.19,308473.38,634.85,8444774.7,2024-09-04,BHEL Ranipet L1,Magesh,INR
1416,Complete manufacturing of Foundation Bolt for ESP,Cando Engineering,20578,Monthly,11.26,231708.28,1333.41,27438910.98,2024-03-04,BHEL Trichy T2,Magesh,INR
1417,Complete manufacturing of Pin Wheel 1 for ESP,Sub Contractor,6555,One time,20.55,134705.25,1332.06,8731653.3,2024-03-28,BHEL Haridwar P3,Kumar,INR
1418,Complete manufacturing of Shaft for ESP,SriVidhya Fabricators,16243,Quarterly,7.59,123284.37,245.04,3980184.72,2024-10-28,BHEL Trichy T2,Srividhya,INR
1419,Complete manufacturing of Pin Wheel 1 for ESP,Cando Engineering,13318,Quarterly,17.59,234263.62,259.3,3453357.4,2024-08-01,BHEL Trichy T2,Magesh,INR
1420,Complete manufacturing of Grip Coupling for ESP,Cando Engineering,15477,One time,14.32,221630.64,71.49,1106450.73,2024-06-04,BHEL Ranipet L1,Kumar,INR
1421,Complete manufacturing of Bearings for ESP,Sub Contractor,12123,One time,11.96,144991.08,1459.98,17699337.54,2024-05-21,BHEL Ranipet L1,Magesh,INR
1422,Complete manufacturing of Shaft I for ESP,Tetakisu,11930,Monthly,13.36,159384.8,1050.44,12531749.2,2024-03-30,BHEL Haridwar P3,Magesh,INR
1423,Complete manufacturing of Shaft I for ESP,Cando Engineering,15556,Monthly,21.54,335076.24,323.08,5025832.48,2025-02-05,BHEL Haridwar P3,Srividhya,INR
1424,Complete manufacturing of Bearings for ESP,Sub Contractor,21639,Quarterly,9.72,210331.08,969.92,20988098.88,2024-12-03,BHEL Ranipet L1,Kumar,INR
1425,Complete manufacturing of Pin Wheel 1 for ESP,Cando Engineering,4740,Monthly,8.44,40005.6,1912.63,9065866.2,2024-06-27,BHEL Haridwar P3,Kumar,INR
1426,Complete manufacturing of Foundation Bolt for ESP,SriVidhya Fabricators,2714,One time,1.22,3311.08,1479.11,4014304.54,2024-04-28,BHEL Ranipet L1,Mani,INR
1427,Complete manufacturing of Bearings for ESP,SriVidhya Fabricators,11105,One time,24.54,272516.7,1626.68,18064281.4,2025-01-10,BHEL Ranipet L1,Mani,INR
1428,Complete manufacturing of Shaft for ESP,SriVidhya Fabricators,14264,One time,2.02,28813.28,538.44,7680308.16,2024-01-20,BHEL Haridwar P3,Mani,INR
1429,Complete manufacturing of Bearings for ESP,Cando Engineering,20374,Monthly,21.1,429891.4,1850.92,37710644.08,2024-06-13,BHEL Ranipet L1,Ravi,INR
1430,Complete manufacturing of Bearings for ESP,Tetakisu,21386,Monthly,14.13,302184.18,431.65,9231266.9,2024-09-08,BHEL Trichy T2,Srividhya,INR
1431,Complete manufacturing of Shaft for ESP,Tetakisu,24818,One time,11.13,276224.34,1080.63,26819075.34,2025-02-08,BHEL Ranipet L1,Mani,INR
1432,Complete manufacturing of Supporting Bracket for ESP,Sub Contractor,21114,Monthly,2.86,60386.04,114.82,2424309.48,2024-03-12,BHEL Ranipet L1,Srividhya,INR
1433,Complete manufacturing of Foundation Bolt for ESP,SriVidhya Fabricators,19121,Monthly,21.68,414543.28,714.39,13659851.19,2024-12-15,BHEL Haridwar P3,Kumar,INR
1434,Complete manufacturing of Bearings for ESP,Tetakisu,7298,Monthly,20.78,151652.44,1026.66,7492564.68,2024-07-01,BHEL Haridwar P3,Kumar,INR
1435,Complete manufacturing of Foundation Bolt for ESP,Tetakisu,2700,Quarterly,10.97,29619.0,783.43,2115261.0,2024-02-06,BHEL Haridwar P3,Mani,INR
1436,Complete manufacturing of Shaft for ESP,Cando Engineering,3806,One time,12.72,48412.32,150.38,572346.28,2024-10-03,BHEL Trichy T2,Mani,INR
1437,Complete manufacturing of Shaft for ESP,Cando Engineering,8737,Quarterly,17.73,154907.01,182.51,1594589.87,2025-03-22,BHEL Ranipet L1,Srividhya,INR
1438,Complete manufacturing of Grip Coupling for ESP,Tetakisu,17465,Monthly,12.75,222678.75,828.48,14469403.2,2024-01-30,BHEL Haridwar P3,Mani,INR
1439,Complete manufacturing of Supporting Bracket for ESP,SriVidhya Fabricators,9119,Monthly,1.23,11216.37,709.19,6467103.61,2024-05-13,BHEL Ranipet L1,Srividhya,INR
1440,Complete manufacturing of Foundation Bolt for ESP,Sub Contractor,5064,One time,13.9,70389.6,1481.05,7500037.2,2025-01-22,BHEL Haridwar P3,Mani,INR
1441,Complete manufacturing of Shaft for ESP,SriVidhya Fabricators,2889,Monthly,22.66,65464.74,1421.03,4105355.67,2025-01-26,BHEL Ranipet L1,Srividhya,INR
1442,Complete manufacturing of Grip Coupling for ESP,SriVidhya Fabricators,20100,Monthly,15.5,311550.0,207.16,4163916.0,2024-10-09,BHEL Trichy T2,Magesh,INR
1443,Complete manufacturing of Shaft I for ESP,Sub Contractor,3909,One time,12.67,49527.03,489.23,1912400.07,2024-06-28,BHEL Trichy T2,Ravi,INR
1444,Complete manufacturing of Shaft I for ESP,Tetakisu,1202,One time,1.15,1382.3,1574.55,1892609.1,2024-04-10,BHEL Haridwar P3,Kumar,INR
1445,Complete manufacturing of Foundation Bolt for ESP,SriVidhya Fabricators,22845,Monthly,18.58,424460.1,1127.37,25754767.65,2024-01-27,BHEL Trichy T2,Ravi,INR
1446,Complete manufacturing of Pin Wheel 1 for ESP,Tetakisu,14581,Monthly,10.96,159807.76,318.65,4646235.65,2024-08-12,BHEL Ranipet L1,Kumar,INR
1447,Complete manufacturing of Shaft I for ESP,Cando Engineering,6845,Quarterly,11.19,76595.55,162.95,1115392.75,2024-04-28,BHEL Ranipet L1,Kumar,INR
1448,Complete manufacturing of Grip Coupling for ESP,Tetakisu,14035,Monthly,18.94,265822.9,1625.08,22807997.8,2024-10-01,BHEL Haridwar P3,Mani,INR
1449,Complete manufacturing of Foundation Bolt for ESP,Sub Contractor,24087,One time,20.41,491615.67,199.39,4802706.93,2024-03-05,BHEL Trichy T2,Magesh,INR
1450,Complete manufacturing of Shaft I for ESP,Sub Contractor,10793,Quarterly,15.26,164701.18,1786.33,19279859.69,2024-05-29,BHEL Ranipet L1,Kumar,INR
1451,Complete manufacturing of Bearings for ESP,SriVidhya Fabricators,22047,One time,16.59,365759.73,198.94,4386030.18,2024-10-05,BHEL Ranipet L1,Ravi,INR
1452,Complete manufacturing of Pin Wheel 1 for ESP,Cando Engineering,7718,Quarterly,17.97,138692.46,1885.78,14554450.04,2025-02-03,BHEL Haridwar P3,Srividhya,INR
1453,Complete manufacturing of Foundation Bolt for ESP,Tetakisu,17763,Quarterly,8.31,147610.53,1105.77,19641792.51,2024-02-23,BHEL Ranipet L1,Srividhya,INR
1454,Complete manufacturing of Bearings for ESP,SriVidhya Fabricators,9667,One time,5.49,53071.83,317.41,3068402.47,2024-09-23,BHEL Ranipet L1,Srividhya,INR
1455,Complete manufacturing of Pin Wheel 1 for ESP,Tetakisu,4522,Quarterly,18.26,82571.72,1586.48,7174062.56,2024-01-19,BHEL Ranipet L1,Ravi,INR
1456,Complete manufacturing of Pin Wheel 1 for ESP,SriVidhya Fabricators,4243,One time,12.72,53970.96,115.82,491424.26,2024-05-22,BHEL Haridwar P3,Ravi,INR
1457,Complete manufacturing of Shaft I for ESP,Sub Contractor,2456,Quarterly,21.44,52656.64,798.68,1961558.08,2024-01-10,BHEL Trichy T2,Ravi,INR
1458,Complete manufacturing of Bearings for ESP,Sub Contractor,7854,One time,9.79,76890.66,1336.86,10499698.44,2024-09-29,BHEL Ranipet L1,Srividhya,INR
1459,Complete manufacturing of Grip Coupling for ESP,Cando Engineering,1351,Monthly,18.98,25641.98,705.63,953306.13,2025-02-28,BHEL Trichy T2,Kumar,INR
1460,Complete manufacturing of Shaft for ESP,Sub Contractor,11672,Monthly,20.82,243011.04,896.45,10463364.4,2024-08-06,BHEL Haridwar P3,Mani,INR
1461,Complete manufacturing of Foundation Bolt for ESP,Sub Contractor,18630,Quarterly,23.84,444139.2,1868.32,34806801.6,2024-05-27,BHEL Haridwar P3,Ravi,INR
1462,Complete manufacturing of Bearings for ESP,Cando Engineering,5826,Quarterly,11.95,69620.7,1985.6,11568105.6,2024-05-01,BHEL Ranipet L1,Mani,INR
1463,Complete manufacturing of Shaft I for ESP,Cando Engineering,3302,One time,19.4,64058.8,626.86,2069891.72,2024-10-19,BHEL Trichy T2,Mani,INR
1464,Complete manufacturing of Supporting Bracket for ESP,Cando Engineering,12352,Quarterly,16.65,205660.8,1575.73,19463416.96,2025-02-18,BHEL Haridwar P3,Mani,INR
1465,Complete manufacturing of Grip Coupling for ESP,Cando Engineering,19126,Monthly,8.36,159893.36,565.81,10821682.06,2024-04-01,BHEL Trichy T2,Ravi,INR
1466,Complete manufacturing of Grip Coupling for ESP,SriVidhya Fabricators,790,Quarterly,1.41,1113.9,749.51,592112.9,2024-11-22,BHEL Haridwar P3,Magesh,INR
1467,Complete manufacturing of Bearings for ESP,Sub Contractor,19491,One time,7.27,141699.57,1240.14,24171568.74,2024-06-09,BHEL Ranipet L1,Ravi,INR
1468,Complete manufacturing of Shaft for ESP,Cando Engineering,9548,Quarterly,21.79,208050.92,298.08,2846067.84,2024-11-18,BHEL Ranipet L1,Magesh,INR
1469,Complete manufacturing of Foundation Bolt for ESP,Sub Contractor,8124,One time,16.54,134370.96,409.3,3325153.2,2024-09-16,BHEL Trichy T2,Kumar,INR
1470,Complete manufacturing of Shaft I for ESP,Sub Contractor,18634,Monthly,6.08,113294.72,1905.82,35513049.88,2024-05-12,BHEL Trichy T2,Mani,INR
1471,Complete manufacturing of Pin Wheel 1 for ESP,Cando Engineering,18209,Monthly,1.6,29134.4,507.66,9243980.94,2024-02-25,BHEL Ranipet L1,Kumar,INR
1472,Complete manufacturing of Bearings for ESP,Sub Contractor,17245,One time,6.31,108815.95,685.29,11817826.05,2024-07-09,BHEL Haridwar P3,Ravi,INR
1473,Complete manufacturing of Grip Coupling for ESP,SriVidhya Fabricators,9776,One time,1.11,10851.36,1233.59,12059575.84,2024-07-03,BHEL Trichy T2,Ravi,INR
1474,Complete manufacturing of Pin Wheel 1 for ESP,Cando Engineering,15923,Quarterly,15.74,250628.02,362.61,5773839.03,2024-01-23,BHEL Trichy T2,Magesh,INR
1475,Complete manufacturing of Supporting Bracket for ESP,Sub Contractor,3981,Monthly,5.68,22612.08,660.56,2629689.36,2025-01-01,BHEL Haridwar P3,Kumar,INR
1476,Complete manufacturing of Foundation Bolt for ESP,Cando Engineering,7540,Quarterly,20.85,157209.0,113.57,856317.8,2025-01-06,BHEL Ranipet L1,Ravi,INR
1477,Complete manufacturing of Foundation Bolt for ESP,Sub Contractor,3033,One time,14.35,43523.55,1995.74,6053079.42,2024-11-18,BHEL Haridwar P3,Ravi,INR
1478,Complete manufacturing of Supporting Bracket for ESP,Sub Contractor,17793,One time,15.37,273478.41,1335.44,23761483.92,2024-09-23,BHEL Trichy T2,Srividhya,INR
1479,Complete manufacturing of Shaft I for ESP,Tetakisu,19349,Quarterly,22.82,441544.18,690.93,13368804.57,2025-02-13,BHEL Trichy T2,Magesh,INR
1480,Complete manufacturing of Bearings for ESP,Cando Engineering,4281,Monthly,6.41,27441.21,1478.96,6331427.76,2025-03-26,BHEL Trichy T2,Srividhya,INR
1481,Complete manufacturing of Grip Coupling for ESP,Cando Engineering,18865,Monthly,2.37,44710.05,756.48,14270995.2,2024-09-04,BHEL Haridwar P3,Magesh,INR
1482,Complete manufacturing of Bearings for ESP,SriVidhya Fabricators,8028,Monthly,20.78,166821.84,1974.15,15848476.2,2024-10-02,BHEL Ranipet L1,Ravi,INR
1483,Complete manufacturing of Pin Wheel 1 for ESP,Tetakisu,20342,Quarterly,20.0,406840.0,716.07,14566295.94,2024-03-01,BHEL Ranipet L1,Ravi,INR
1484,Complete manufacturing of Bearings for ESP,Tetakisu,19374,Quarterly,16.0,309984.0,1556.66,30158730.84,2024-04-02,BHEL Trichy T2,Mani,INR
1485,Complete manufacturing of Shaft for ESP,Sub Contractor,14217,Quarterly,19.25,273677.25,1437.19,20432530.23,2024-08-28,BHEL Haridwar P3,Mani,INR
1486,Complete manufacturing of Shaft for ESP,Sub Contractor,14636,One time,17.41,254812.76,1980.37,28984695.32,2024-03-08,BHEL Haridwar P3,Kumar,INR
1487,Complete manufacturing of Bearings for ESP,SriVidhya Fabricators,12111,One time,10.36,125469.96,1136.03,13758459.33,2024-12-30,BHEL Trichy T2,Mani,INR
1488,Complete manufacturing of Shaft I for ESP,Cando Engineering,19881,Monthly,15.61,310342.41,1988.56,39534561.36,2024-01-24,BHEL Ranipet L1,Srividhya,INR
1489,Complete manufacturing of Bearings for ESP,SriVidhya Fabricators,21171,Quarterly,18.65,394839.15,899.6,19045431.6,2025-01-22,BHEL Trichy T2,Magesh,INR
1490,Complete manufacturing of Pin Wheel 1 for ESP,Tetakisu,24214,Monthly,22.95,555711.3,1876.41,45435391.74,2024-02-12,BHEL Ranipet L1,Mani,INR
1491,Complete manufacturing of Supporting Bracket for ESP,Cando Engineering,22582,Monthly,11.61,262177.02,674.85,15239462.7,2024-03-31,BHEL Haridwar P3,Kumar,INR
1492,Complete manufacturing of Shaft I for ESP,Sub Contractor,8110,Quarterly,12.59,102104.9,144.16,1169137.6,2024-09-22,BHEL Haridwar P3,Kumar,INR
1493,Complete manufacturing of Supporting Bracket for ESP,SriVidhya Fabricators,9847,Quarterly,9.91,97583.77,1526.74,15033808.78,2024-03-14,BHEL Ranipet L1,Magesh,INR
1494,Complete manufacturing of Bearings for ESP,Cando Engineering,19346,Monthly,8.2,158637.2,727.32,14070732.72,2024-03-25,BHEL Ranipet L1,Srividhya,INR
1495,Complete manufacturing of Shaft I for ESP,SriVidhya Fabricators,14882,One time,22.19,330231.58,612.53,9115671.46,2024-05-12,BHEL Haridwar P3,Mani,INR
1496,Complete manufacturing of Shaft for ESP,Cando Engineering,5120,One time,5.57,28518.4,1685.64,8630476.8,2025-01-21,BHEL Ranipet L1,Mani,INR
1497,Complete manufacturing of Supporting Bracket for ESP,Sub Contractor,18189,Monthly,20.08,365235.12,63.0,1145907.0,2025-03-02,BHEL Ranipet L1,Srividhya,INR
1498,Complete manufacturing of Shaft for ESP,Cando Engineering,19215,Quarterly,18.44,354324.6,1065.74,20478194.1,2025-03-01,BHEL Trichy T2,Srividhya,INR
1499,Complete manufacturing of Grip Coupling for ESP,Sub Contractor,15062,Quarterly,12.58,189479.96,219.38,3304301.56,2024-03-11,BHEL Trichy T2,Mani,INR
1500,Complete manufacturing of Shaft I for ESP,Sub Contractor,24888,One time,18.32,455948.16,687.88,17119957.44,2024-09-16,BHEL Trichy T2,Srividhya,INR
1501,Complete manufacturing of Bearings for ESP,Sub Contractor,23660,Monthly,8.21,194248.6,1853.22,43847185.2,2024-08-09,BHEL Ranipet L1,Kumar,INR
1502,Complete manufacturing of Shaft I for ESP,Tetakisu,18790,Monthly,21.02,394965.8,1270.86,23879459.4,2024-11-20,BHEL Haridwar P3,Mani,INR
1503,Complete manufacturing of Shaft for ESP,Tetakisu,19713,Quarterly,21.87,431123.31,479.41,9450609.33,2024-04-10,BHEL Trichy T2,Ravi,INR
1504,Complete manufacturing of Shaft for ESP,SriVidhya Fabricators,6631,Monthly,12.67,84014.77,306.99,2035650.69,2024-11-21,BHEL Ranipet L1,Kumar,INR
1505,Complete manufacturing of Foundation Bolt for ESP,Tetakisu,604,Quarterly,2.15,1298.6,1137.59,687104.36,2024-04-16,BHEL Haridwar P3,Magesh,INR
1506,Complete manufacturing of Grip Coupling for ESP,SriVidhya Fabricators,23043,Quarterly,15.53,357857.79,1280.5,29506561.5,2024-04-30,BHEL Haridwar P3,Srividhya,INR
1507,Complete manufacturing of Bearings for ESP,Tetakisu,10333,One time,21.94,226706.02,1352.55,13975899.15,2024-09-07,BHEL Haridwar P3,Ravi,INR
1508,Complete manufacturing of Supporting Bracket for ESP,Cando Engineering,18306,Quarterly,7.74,141688.44,476.91,8730314.46,2025-01-21,BHEL Trichy T2,Ravi,INR
1509,Complete manufacturing of Bearings for ESP,Cando Engineering,8606,Monthly,10.91,93891.46,393.58,3387149.48,2024-06-12,BHEL Haridwar P3,Mani,INR
1510,Complete manufacturing of Shaft I for ESP,SriVidhya Fabricators,23595,One time,19.46,459158.7,993.29,23436677.55,2025-02-16,BHEL Trichy T2,Kumar,INR
1511,Complete manufacturing of Bearings for ESP,Tetakisu,1449,Quarterly,7.06,10229.94,469.46,680247.54,2025-03-11,BHEL Trichy T2,Mani,INR
1512,Complete manufacturing of Supporting Bracket for ESP,Cando Engineering,9072,Monthly,8.28,75116.16,813.19,7377259.68,2024-08-14,BHEL Trichy T2,Ravi,INR
1513,Complete manufacturing of Shaft I for ESP,Sub Contractor,9292,Quarterly,18.34,170415.28,712.69,6622315.48,2025-02-23,BHEL Ranipet L1,Srividhya,INR
1514,Complete manufacturing of Bearings for ESP,SriVidhya Fabricators,7751,Monthly,21.95,170134.45,1095.23,8489127.73,2025-02-03,BHEL Haridwar P3,Mani,INR
1515,Complete manufacturing of Supporting Bracket for ESP,Cando Engineering,4734,Monthly,13.72,64950.48,1903.04,9008991.36,2024-01-11,BHEL Trichy T2,Mani,INR
1516,Complete manufacturing of Foundation Bolt for ESP,Cando Engineering,12057,Monthly,2.05,24716.85,145.97,1759960.29,2024-04-17,BHEL Trichy T2,Kumar,INR
1517,Complete manufacturing of Shaft for ESP,Tetakisu,18053,Quarterly,21.56,389222.68,497.2,8975951.6,2025-02-14,BHEL Ranipet L1,Srividhya,INR
1518,Complete manufacturing of Shaft I for ESP,SriVidhya Fabricators,7565,Monthly,18.47,139725.55,1883.03,14245121.95,2024-01-19,BHEL Ranipet L1,Kumar,INR
1519,Complete manufacturing of Grip Coupling for ESP,SriVidhya Fabricators,16389,One time,4.35,71292.15,637.86,10453887.54,2024-04-27,BHEL Haridwar P3,Magesh,INR
1520,Complete manufacturing of Grip Coupling for ESP,Cando Engineering,4551,Quarterly,16.55,75319.05,305.83,1391832.33,2025-01-14,BHEL Trichy T2,Mani,INR
1521,Complete manufacturing of Grip Coupling for ESP,Sub Contractor,17031,Monthly,17.74,302129.94,1478.65,25182888.15,2024-01-11,BHEL Ranipet L1,Kumar,INR
1522,Complete manufacturing of Supporting Bracket for ESP,Tetakisu,3631,Monthly,14.91,54138.21,812.69,2950877.39,2025-03-01,BHEL Haridwar P3,Srividhya,INR
1523,Complete manufacturing of Foundation Bolt for ESP,Cando Engineering,14431,Monthly,18.72,270148.32,639.2,9224295.2,2024-08-22,BHEL Ranipet L1,Mani,INR
1524,Complete manufacturing of Shaft I for ESP,SriVidhya Fabricators,12839,Quarterly,11.02,141485.78,483.39,6206244.21,2024-07-27,BHEL Haridwar P3,Srividhya,INR
1525,Complete manufacturing of Bearings for ESP,Cando Engineering,23531,Monthly,12.91,303785.21,795.7,18723616.7,2024-09-11,BHEL Haridwar P3,Ravi,INR
1526,Complete manufacturing of Shaft I for ESP,Sub Contractor,15319,One time,14.66,224576.54,98.54,1509534.26,2025-01-29,BHEL Ranipet L1,Ravi,INR
1527,Complete manufacturing of Shaft I for ESP,SriVidhya Fabricators,18953,One time,16.25,307986.25,698.25,13233932.25,2025-02-18,BHEL Haridwar P3,Mani,INR
1528,Complete manufacturing of Grip Coupling for ESP,Tetakisu,7305,Quarterly,15.04,109867.2,213.58,1560201.9,2024-07-25,BHEL Haridwar P3,Ravi,INR
1529,Complete manufacturing of Supporting Bracket for ESP,Tetakisu,2431,Quarterly,6.67,16214.77,657.34,1597993.54,2024-06-21,BHEL Ranipet L1,Mani,INR
1530,Complete manufacturing of Shaft I for ESP,SriVidhya Fabricators,682,Quarterly,17.41,11873.62,1522.32,1038222.24,2025-02-10,BHEL Trichy T2,Kumar,INR
1531,Complete manufacturing of Bearings for ESP,Cando Engineering,21865,One time,8.39,183447.35,1432.29,31317020.85,2024-09-20,BHEL Haridwar P3,Mani,INR
1532,Complete manufacturing of Grip Coupling for ESP,SriVidhya Fabricators,23413,One time,9.7,227106.1,1525.93,35726599.09,2024-03-23,BHEL Haridwar P3,Mani,INR
1533,Complete manufacturing of Shaft for ESP,Tetakisu,14839,One time,1.46,21664.94,877.16,13016177.24,2024-03-28,BHEL Haridwar P3,Kumar,INR
1534,Complete manufacturing of Bearings for ESP,Tetakisu,18426,Quarterly,10.29,189603.54,628.66,11583689.16,2024-08-10,BHEL Trichy T2,Srividhya,INR
1535,Complete manufacturing of Supporting Bracket for ESP,Cando Engineering,20655,Quarterly,14.31,295573.05,373.59,7716501.45,2024-05-28,BHEL Haridwar P3,Magesh,INR
1536,Complete manufacturing of Foundation Bolt for ESP,Cando Engineering,17519,Monthly,6.66,116676.54,952.62,16688949.78,2024-06-18,BHEL Haridwar P3,Magesh,INR
1537,Complete manufacturing of Shaft for ESP,SriVidhya Fabricators,821,Quarterly,10.7,8784.7,343.18,281750.78,2024-02-04,BHEL Ranipet L1,Srividhya,INR
1538,Complete manufacturing of Pin Wheel 1 for ESP,Tetakisu,7029,Monthly,2.8,19681.2,944.26,6637203.54,2024-02-18,BHEL Ranipet L1,Kumar,INR
1539,Complete manufacturing of Bearings for ESP,Tetakisu,2687,Quarterly,16.09,43233.83,1772.52,4762761.24,2024-06-25,BHEL Haridwar P3,Mani,INR
1540,Complete manufacturing of Shaft for ESP,Cando Engineering,9812,Quarterly,14.82,145413.84,646.21,6340612.52,2024-11-15,BHEL Trichy T2,Srividhya,INR
1541,Complete manufacturing of Supporting Bracket for ESP,Tetakisu,3038,Monthly,4.23,12850.74,1474.78,4480381.64,2024-05-23,BHEL Ranipet L1,Srividhya,INR
1542,Complete manufacturing of Supporting Bracket for ESP,Sub Contractor,4651,Monthly,14.89,69253.39,1543.81,7180260.31,2024-06-18,BHEL Haridwar P3,Kumar,INR
1543,Complete manufacturing of Supporting Bracket for ESP,Cando Engineering,24658,Monthly,16.88,416227.04,973.14,23995686.12,2024-03-27,BHEL Ranipet L1,Magesh,INR
1544,Complete manufacturing of Shaft for ESP,Sub Contractor,20649,One time,4.01,82802.49,977.15,20177170.35,2024-01-01,BHEL Trichy T2,Mani,INR
1545,Complete manufacturing of Grip Coupling for ESP,Tetakisu,17267,Quarterly,10.92,188555.64,969.79,16745363.93,2024-06-03,BHEL Haridwar P3,Mani,INR
1546,Complete manufacturing of Shaft for ESP,SriVidhya Fabricators,12863,Quarterly,17.8,228961.4,742.23,9547304.49,2025-03-05,BHEL Haridwar P3,Srividhya,INR
1547,Complete manufacturing of Supporting Bracket for ESP,Sub Contractor,20337,One time,23.91,486257.67,1893.71,38512380.27,2025-03-02,BHEL Trichy T2,Magesh,INR
1548,Complete manufacturing of Foundation Bolt for ESP,SriVidhya Fabricators,18866,Quarterly,12.51,236013.66,1588.48,29968263.68,2024-12-16,BHEL Ranipet L1,Kumar,INR
1549,Complete manufacturing of Bearings for ESP,Cando Engineering,6333,One time,21.72,137552.76,1717.98,10879967.34,2025-01-29,BHEL Haridwar P3,Srividhya,INR
1550,Complete manufacturing of Pin Wheel 1 for ESP,SriVidhya Fabricators,7505,Monthly,14.21,106646.05,1995.91,14979304.55,2024-04-07,BHEL Trichy T2,Srividhya,INR
1551,Complete manufacturing of Shaft for ESP,Sub Contractor,6917,Quarterly,9.34,64604.78,430.03,2974517.51,2024-10-27,BHEL Trichy T2,Srividhya,INR
1552,Complete manufacturing of Grip Coupling for ESP,Cando Engineering,8815,Monthly,23.08,203450.2,1233.21,10870746.15,2024-01-18,BHEL Haridwar P3,Srividhya,INR
1553,Complete manufacturing of Pin Wheel 1 for ESP,SriVidhya Fabricators,13551,One time,24.9,337419.9,1423.32,19287409.32,2024-05-20,BHEL Haridwar P3,Mani,INR
1554,Complete manufacturing of Supporting Bracket for ESP,Sub Contractor,24028,Quarterly,24.93,599018.04,1282.87,30824800.36,2024-09-08,BHEL Ranipet L1,Ravi,INR
1555,Complete manufacturing of Pin Wheel 1 for ESP,Sub Contractor,1751,Quarterly,1.21,2118.71,1793.82,3140978.82,2024-03-19,BHEL Haridwar P3,Magesh,INR
1556,Complete manufacturing of Foundation Bolt for ESP,Tetakisu,3213,Quarterly,20.93,67248.09,282.88,908893.44,2024-08-15,BHEL Haridwar P3,Mani,INR
1557,Complete manufacturing of Shaft I for ESP,Sub Contractor,18328,Quarterly,24.59,450685.52,428.66,7856480.48,2024-11-10,BHEL Haridwar P3,Mani,INR
1558,Complete manufacturing of Shaft I for ESP,Cando Engineering,23742,One time,22.69,538705.98,1194.35,28356257.7,2024-07-06,BHEL Haridwar P3,Mani,INR
1559,Complete manufacturing of Pin Wheel 1 for ESP,SriVidhya Fabricators,14143,Monthly,16.91,239158.13,176.66,2498502.38,2025-02-26,BHEL Haridwar P3,Magesh,INR
1560,Complete manufacturing of Pin Wheel 1 for ESP,Cando Engineering,3251,One time,11.36,36931.36,587.27,1909214.77,2024-04-11,BHEL Haridwar P3,Kumar,INR
1561,Complete manufacturing of Bearings for ESP,Tetakisu,21317,Monthly,21.13,450428.21,1885.13,40185316.21,2024-06-08,BHEL Trichy T2,Kumar,INR
1562,Complete manufacturing of Shaft I for ESP,Sub Contractor,11688,Quarterly,14.42,168540.96,1407.77,16454015.76,2024-10-16,BHEL Trichy T2,Mani,INR
1563,Complete manufacturing of Grip Coupling for ESP,Sub Contractor,6480,Monthly,2.62,16977.6,669.13,4335962.4,2024-11-16,BHEL Ranipet L1,Magesh,INR
1564,Complete manufacturing of Foundation Bolt for ESP,Sub Contractor,7627,Monthly,9.68,73829.36,208.49,1590153.23,2025-01-05,BHEL Ranipet L1,Srividhya,INR
1565,Complete manufacturing of Foundation Bolt for ESP,Tetakisu,24991,Monthly,3.75,93716.25,154.0,3848614.0,2024-12-27,BHEL Trichy T2,Magesh,INR
1566,Complete manufacturing of Shaft I for ESP,Tetakisu,19015,Quarterly,10.64,202319.6,1678.79,31922191.85,2024-05-19,BHEL Ranipet L1,Magesh,INR
1567,Complete manufacturing of Shaft I for ESP,Cando Engineering,23357,Quarterly,6.98,163031.86,1005.28,23480324.96,2024-10-23,BHEL Trichy T2,Srividhya,INR
1568,Complete manufacturing of Foundation Bolt for ESP,SriVidhya Fabricators,21177,Monthly,20.88,442175.76,121.63,2575758.51,2025-03-03,BHEL Haridwar P3,Ravi,INR
1569,Complete manufacturing of Shaft for ESP,Tetakisu,23509,Quarterly,9.0,211581.0,1631.27,38349526.43,2025-02-11,BHEL Trichy T2,Magesh,INR
1570,Complete manufacturing of Shaft I for ESP,Cando Engineering,3473,Monthly,19.45,67549.85,553.52,1922374.96,2024-08-27,BHEL Trichy T2,Mani,INR
1571,Complete manufacturing of Grip Coupling for ESP,Tetakisu,16071,One time,11.95,192048.45,679.83,10925547.93,2024-10-15,BHEL Trichy T2,Kumar,INR
1572,Complete manufacturing of Grip Coupling for ESP,Cando Engineering,23479,One time,15.92,373785.68,1745.19,40975316.01,2024-01-05,BHEL Ranipet L1,Ravi,INR
